square_id,scope,n_observations,n_nan,n_zero,n_below_mape_floor,n_below_near_zero_threshold,min_internet_traffic,max_internet_traffic,observations_dropped
5161,all_experiment,7488,0,0,0,0,93.16325661540031,8044.070326566696,0
5161,train,5472,0,0,0,0,93.16325661540031,8044.070326566696,0
5161,validation,1008,0,0,0,0,169.40472054481506,5752.094357326627,0
5161,test,1008,0,0,0,0,108.15402837732108,5496.440290212631,0
5059,all_experiment,7488,0,0,0,0,179.09242463111875,4666.12050704658,0
5059,train,5472,0,0,0,0,179.09242463111875,4666.12050704658,0
5059,validation,1008,0,0,0,0,216.33865324081853,4082.55567368865,0
5059,test,1008,0,0,0,0,182.26084101200104,3207.1083561480045,0
5259,all_experiment,7488,0,0,0,0,115.3860092163086,4442.095930710435,0
5259,train,5472,0,0,0,0,115.3860092163086,4442.095930710435,0
5259,validation,1008,0,0,0,0,146.172607421875,4260.227349187248,0
5259,test,1008,0,0,0,0,161.44585494697094,3764.5301080346103,0
