model,candidate_id,square_id,status,fit_time_seconds,prediction_time_seconds,is_research_model,validation_mae,validation_rmse,validation_mape,training_mean,normalized_validation_mae,normalized_validation_rmse,units,n_layers,dropout,learning_rate,batch_size,max_epochs,sequence_length,seed,actual_epochs,best_epoch,best_validation_loss,filters,kernel_size,dilations,receptive_field_steps,receptive_field_minutes,order,seasonal_order,method,maxiter,error,convergence_status,fit_warning
Naive,persistence,5161,ok,0.0022217000077944,0.005484699999215,False,116.66854228724512,175.15660371865047,9.413000665863269,1511.3654650449405,0.0771941300668637,0.115892950957062,,,,,,,,,,,,,,,,,,,,,,,
Naive,persistence,5059,ok,0.0009445000032428,0.0067065999901387,False,99.98724559399425,145.77967199959258,8.356898479014264,1342.3323864221873,0.0744876951531336,0.1086017691848658,,,,,,,,,,,,,,,,,,,,,,,
Naive,persistence,5259,ok,0.0024222999927587,0.006308700016234,False,89.9579162790721,132.19920677279458,7.760029322308743,1313.3220537673162,0.0684964636214127,0.1006601590170331,,,,,,,,,,,,,,,,,,,,,,,
LSTM,A,5161,ok,191.9385123999964,3.57833039999241,True,122.26420279333315,176.94386088792834,11.930035750999592,1511.3654650449405,0.0808965175009458,0.1170754956232024,32.0,1.0,0.1,0.001,64.0,20.0,144.0,42.0,20.0,19.0,0.0004952650051563,,,,,,,,,,,,
LSTM,A,5059,ok,124.26391810001223,0.5479576000070665,True,100.24076698885575,138.29574105921523,9.196844873756415,1342.3323864221873,0.0746765614856649,0.1030264504217353,32.0,1.0,0.1,0.001,64.0,20.0,144.0,42.0,20.0,20.0,0.0009499484440311,,,,,,,,,,,,
LSTM,A,5259,ok,33.71499420001055,0.4275431999994907,True,87.077875071763,128.34038219791304,7.976493053142845,1313.3220537673162,0.0663035200101731,0.0977219424814831,32.0,1.0,0.1,0.001,64.0,20.0,144.0,42.0,20.0,19.0,0.0008798550115898,,,,,,,,,,,,
LSTM,B,5161,ok,64.0793047999905,0.5106282999913674,True,117.68727234888412,171.31928051357775,10.743885730018594,1511.3654650449405,0.0778681762093754,0.1133539732618434,64.0,1.0,0.1,0.001,64.0,20.0,144.0,42.0,20.0,16.0,0.0004642790881916,,,,,,,,,,,,
LSTM,B,5059,ok,86.03504700001213,0.686217399983434,True,95.57862657550052,129.6738699267065,9.58735852659629,1342.3323864221873,0.0712033975655261,0.0966033981138869,64.0,1.0,0.1,0.001,64.0,20.0,144.0,42.0,20.0,19.0,0.0008351940196007,,,,,,,,,,,,
LSTM,B,5259,ok,109.84267280000496,1.0362437999865506,True,89.73177646589583,133.33677550804344,8.057155083127721,1313.3220537673162,0.0683242744675585,0.1015263355439449,64.0,1.0,0.1,0.001,64.0,20.0,144.0,42.0,19.0,14.0,0.0009496953571215,,,,,,,,,,,,
LSTM,C,5161,ok,151.49661339999875,2.6756238999951165,True,125.22546629784236,180.46999148719587,12.097384601752053,1511.3654650449405,0.0828558473738307,0.1194085716930349,32.0,2.0,0.1,0.001,64.0,20.0,144.0,42.0,20.0,18.0,0.0005152009543962,,,,,,,,,,,,
LSTM,C,5059,ok,217.06221060000823,3.201751999993576,True,100.4939051788146,134.82832837559212,10.651381418703192,1342.3323864221873,0.0748651423412855,0.1004433251699748,32.0,2.0,0.1,0.001,64.0,20.0,144.0,42.0,20.0,20.0,0.0009029105422087,,,,,,,,,,,,
LSTM,C,5259,ok,206.5259749000252,2.424090299988165,True,88.25716532051807,129.6448024273397,8.206042492829448,1313.3220537673162,0.0672014644598017,0.0987151643844314,32.0,2.0,0.1,0.001,64.0,20.0,144.0,42.0,20.0,20.0,0.0008978311670944,,,,,,,,,,,,
LSTM,D,5161,ok,148.58962169999722,1.2290812999999616,True,128.19094067131124,187.7141062126353,11.695548185858144,1511.3654650449405,0.0848179633822051,0.124201664358563,64.0,1.0,0.2,0.0005,64.0,20.0,144.0,42.0,20.0,20.0,0.0005573916714638,,,,,,,,,,,,
LSTM,D,5059,ok,178.8176773999876,3.2369547999987844,True,102.34738812339114,140.0090064204221,9.576094816810883,1342.3323864221873,0.0762459351786816,0.104302785090061,64.0,1.0,0.2,0.0005,64.0,20.0,144.0,42.0,20.0,20.0,0.0009736309293657,,,,,,,,,,,,
LSTM,D,5259,ok,603.3419563999923,0.849975400022231,True,92.75498326929544,135.88903601691405,8.995557540991143,1313.3220537673162,0.0706262283521578,0.1034696977996455,64.0,1.0,0.2,0.0005,64.0,20.0,144.0,42.0,20.0,20.0,0.0009864004096016,,,,,,,,,,,,
TCN,A,5161,ok,172.3710978999734,1.0286200999980792,True,114.58447301803696,174.79776184528944,9.44887441980488,1511.3654650449405,0.0758151986850048,0.1156555220348983,,,0.1,0.001,64.0,20.0,144.0,42.0,20.0,20.0,0.0004833240236621,32.0,3.0,"(1, 2, 4, 8)",61.0,610.0,,,,,,,
TCN,A,5059,ok,91.96534419999809,0.9837457000103312,True,85.98713329504194,126.3174359351936,7.037493894036031,1342.3323864221873,0.0640580039376308,0.094102948876825,,,0.1,0.001,64.0,20.0,144.0,42.0,17.0,12.0,0.0007925177924335,32.0,3.0,"(1, 2, 4, 8)",61.0,610.0,,,,,,,
TCN,A,5259,ok,84.7356725000136,1.3762053999817,True,93.884032120307,138.80614463744251,7.749411285795789,1313.3220537673162,0.0714859176018532,0.1056908655719833,,,0.1,0.001,64.0,20.0,144.0,42.0,15.0,10.0,0.0010292049264535,32.0,3.0,"(1, 2, 4, 8)",61.0,610.0,,,,,,,
TCN,B,5161,ok,187.2555563000205,1.487007200019434,True,111.31973712824106,173.5679877228549,8.088710816348005,1511.3654650449405,0.073655075296385,0.1148418378857782,,,0.1,0.001,64.0,20.0,144.0,42.0,20.0,18.0,0.0004765471676364,32.0,3.0,"(1, 2, 4, 8, 16, 32)",253.0,2530.0,,,,,,,
TCN,B,5059,ok,91.94566689999192,1.602736000000732,True,102.166380506275,141.58986193937034,9.489380703393016,1342.3323864221873,0.0761110895778848,0.1054804781375794,,,0.1,0.001,64.0,20.0,144.0,42.0,11.0,6.0,0.0009957416914403,32.0,3.0,"(1, 2, 4, 8, 16, 32)",253.0,2530.0,,,,,,,
TCN,B,5259,ok,51.48861690002377,1.9626187999965623,True,97.54223123013529,138.13587406069487,8.642410900104975,1313.3220537673162,0.0742713723190222,0.1051805028815641,,,0.1,0.001,64.0,20.0,144.0,42.0,6.0,1.0,0.0010192892514169,32.0,3.0,"(1, 2, 4, 8, 16, 32)",253.0,2530.0,,,,,,,
TCN,C,5161,ok,342.7204319000012,2.0529678000020795,True,126.9071814879664,196.8533654302922,8.564018646337555,1511.3654650449405,0.0839685598375061,0.1302486856972338,,,0.1,0.001,64.0,20.0,144.0,42.0,20.0,19.0,0.0006129884859547,64.0,3.0,"(1, 2, 4, 8, 16, 32)",253.0,2530.0,,,,,,,
TCN,C,5059,ok,126.90472489999956,1.3910114000027534,True,84.13145432466649,120.29718008959878,7.300337557223624,1342.3323864221873,0.062675575122573,0.0896180270299782,,,0.1,0.001,64.0,20.0,144.0,42.0,8.0,3.0,0.0007187756127677,64.0,3.0,"(1, 2, 4, 8, 16, 32)",253.0,2530.0,,,,,,,
TCN,C,5259,ok,185.410769900016,1.6463988999894354,True,94.67268338509308,133.30827090167963,8.518165326125496,1313.3220537673162,0.0720864186461506,0.1015046313425405,,,0.1,0.001,64.0,20.0,144.0,42.0,12.0,7.0,0.0009492895333096,64.0,3.0,"(1, 2, 4, 8, 16, 32)",253.0,2530.0,,,,,,,
TCN,D,5161,ok,161.01340960001107,1.5649355999776162,True,113.41011999972048,173.69464474340887,8.19701346528694,1511.3654650449405,0.075038184094241,0.1149256409257995,,,0.1,0.0005,64.0,20.0,144.0,42.0,20.0,20.0,0.0004772429238073,32.0,5.0,"(1, 2, 4, 8, 16)",249.0,2490.0,,,,,,,
TCN,D,5059,ok,114.74946449999698,1.6406613999861293,True,89.8437962397712,129.77768333200348,7.688482857270068,1342.3323864221873,0.0669311097225614,0.0966807361907649,,,0.1,0.0005,64.0,20.0,144.0,42.0,15.0,10.0,0.0008365318062715,32.0,5.0,"(1, 2, 4, 8, 16)",249.0,2490.0,,,,,,,
TCN,D,5259,ok,81.41286890002084,1.0405988999991678,True,101.09236966663823,141.59964766966658,8.91249011422899,1313.3220537673162,0.0769745466290243,0.1078179166058183,,,0.1,0.0005,64.0,20.0,144.0,42.0,15.0,10.0,0.0010710476199164,32.0,5.0,"(1, 2, 4, 8, 16)",249.0,2490.0,,,,,,,
SARIMA,A,5161,failed,,,True,,,,1511.3654650449405,,,,,,,,,,,,,,,,,,,"(1, 0, 1)","(1, 0, 1, 144)",lbfgs,20.0,"MemoryError: Unable to allocate 398. MiB for an array with shape (146, 146, 2448) and data type float64",failed,"Unable to allocate 398. MiB for an array with shape (146, 146, 2448) and data type float64"
SARIMA,A,5059,failed,,,True,,,,1342.3323864221873,,,,,,,,,,,,,,,,,,,"(1, 0, 1)","(1, 0, 1, 144)",lbfgs,20.0,"MemoryError: Unable to allocate 398. MiB for an array with shape (146, 146, 2449) and data type float64",failed,"Unable to allocate 398. MiB for an array with shape (146, 146, 2449) and data type float64"
SARIMA,A,5259,failed,,,True,,,,1313.3220537673162,,,,,,,,,,,,,,,,,,,"(1, 0, 1)","(1, 0, 1, 144)",lbfgs,20.0,"MemoryError: Unable to allocate 398. MiB for an array with shape (146, 146, 2448) and data type float64",failed,"Unable to allocate 398. MiB for an array with shape (146, 146, 2448) and data type float64"
